# Source: https://en.wikipedia.org/wiki/2026_FIBA_Women's_Basketball_World_Cup_squads
# Captured 2026-09-03 via browser DOM extraction (table.sortable inside table.toccolours).
# Columns: team	pos	no	name	age	height_ftin	club	club_country
# Ages are as of 2026-09-04 per the page's own legend. Height ft/in only (metres dropped).
# NOTE: Korea and China were RENUMBERED and Korea RE-ROMANISED between the 09-02 and
# 09-03 captures. This page is being edited hourly this close to tip — re-capture, do
# not assume yesterday's numbers hold.
team	pos	no	name	age	height	club	club_country
HUN	PG	7	Veronika Kányási	27	5 ft 10 in	DVTK	Hungary
HUN	G	8	Eszter Rátkai	19	5 ft 10 in	KSC Szekszárd	Hungary
HUN	G	9	Ágnes Studer	27	5 ft 6 in	PEAC-Pécs	Hungary
HUN	PG	10	Nina Aho	29	5 ft 9 in	DVTK	Hungary
HUN	C	11	Kinga Josepovits	18	6 ft 5 in	PEAC-Pécs	Hungary
HUN	PF	13	Ágnes Török	28	6 ft 0 in	PEAC-Pécs	Hungary
HUN	F	14	Dorka Juhász	26	6 ft 5 in	Minnesota Lynx	United States
HUN	SG	21	Réka Lelik	27	5 ft 10 in	DVTK	Hungary
HUN	G	22	Yvonne Turner	38	5 ft 10 in	Valencia Basket	Spain
HUN	G	33	Panka Dúl	25	5 ft 10 in	PEAC-Pécs	Hungary
HUN	PF	55	Judit Barnai	32	6 ft 2 in	Ceglédi EKK	Hungary
KOR	G	1	Park Ji-hyun	25	6 ft 1 in	Los Angeles Sparks	United States
KOR	G	2	Heo Ye-eun	23	5 ft 6 in	Cheongju KB Stars	South Korea
KOR	F	3	Kang Lee-seul	32	5 ft 11 in	Asan Woori Bank Woori Won	South Korea
KOR	G	5	An He-ji	29	5 ft 5 in	Busan BNK Sum	South Korea
KOR	PF	6	Choi I-saem	32	6 ft 0 in	Busan BNK Sum	South Korea
KOR	F	8	Jeong Hyun	20	5 ft 10 in	Bucheon Hana Bank	South Korea
KOR	F	9	Lee So-hee	26	5 ft 7 in	Busan BNK Sum	South Korea
KOR	F	10	Kang Yoo-lim	29	5 ft 9 in	Samsung Life Blueminx	South Korea
KOR	PG	11	Park So-hee	23	5 ft 10 in	Bucheon Hana Bank	South Korea
KOR	F	12	Lee Hae-ran	22	5 ft 11 in	Samsung Life Blueminx	South Korea
KOR		39	Hong Yu-sun	20	5 ft 10 in	Incheon Shinhan	South Korea
KOR	C	77	Jin An	30	6 ft 0 in	Bucheon Hana Bank	South Korea
AUS	G	1	Miela Sowah	26	5 ft 9 in	Golden State Valkyries	United States
AUS	G	2	Jade Melbourne	24	5 ft 10 in	Seattle Storm	United States
AUS	SG	4	Alex Wilson	32	5 ft 9 in	Sydney Flames	Australia
AUS	SF	6	Stephanie Talbot	32	6 ft 2 in	Las Vegas Aces	United States
AUS	F	11	Alanna Smith	29	6 ft 3 in	Dallas Wings	United States
AUS	PG	12	Stephanie Reid	30	5 ft 5 in	Tasmania Jewels	Australia
AUS	F	13	Ezi Magbegor	27	6 ft 4 in	Seattle Storm	United States
AUS	G	20	Isobel Borlase	21	5 ft 11 in	Atlanta Dream	United States
AUS	PF	22	Zitina Aokuso	27	6 ft 3 in	Adelaide Lightning	Australia
AUS	F	23	Alex Fowler	25	6 ft 4 in	Townsville Fire	Australia
AUS	F	34	Isabelle Bourne	25	6 ft 2 in	Sydney Flames	Australia
AUS	PF	55	Chloe Bibby	28	6 ft 0 in	Minnesota Lynx	United States
BEL	PG	4	Elise Ramette	27	5 ft 7 in	Joventut Badalona	Spain
BEL	PF	5	Nastja Claessens	21	6 ft 0 in	Kansas State Wildcats	United States
BEL	SF	6	Antonia Delaere	32	6 ft 0 in	Minnesota Lynx	United States
BEL	PF	11	Emma Meesseman	33	6 ft 4 in	Fenerbahçe	Turkey
BEL	C	13	Kyara Linskens	29	6 ft 4 in	Phoenix Mercury	United States
BEL	SF	22	Bethy Mununga	29	6 ft 0 in	ASVEL Basket	France
BEL	C	25	Becky Massey	26	6 ft 1 in	Basket Landes	France
BEL	SF	31	Maxuella Lisowa-Mbaka	25	5 ft 10 in	CS Rapid București	Romania
BEL	C	34	Billie Massey	26	6 ft 1 in	CB Jairis	Spain
BEL	PG	35	Julie Vanloo	33	5 ft 8 in	New York Liberty	United States
BEL	PG	55	Julie Allemand	30	5 ft 9 in	Toronto Tempo	Canada
